"","parameter","group","coef","level","inv_metric","mean","step_size","Model"
"209","z_1[1,95]","Participant","Intercept","IllusionGameEEG_sub-64",0.443953775,0,0.026863425,"gam_ddm4_muller"
"210","z_1[1,96]","Participant","Intercept","IllusionGameEEG_sub-65",0.443953775,0,0.026863425,"gam_ddm4_muller"
"211","z_1[1,97]","Participant","Intercept","IllusionGameEEG_sub-66",0.443953775,0,0.026863425,"gam_ddm4_muller"
"212","z_1[1,98]","Participant","Intercept","IllusionGameEEG_sub-7",0.443953775,0,0.026863425,"gam_ddm4_muller"
"213","z_1[1,99]","Participant","Intercept","IllusionGameEEG_sub-8",0.443953775,0,0.026863425,"gam_ddm4_muller"
"214","z_1[1,100]","Participant","Intercept","IllusionGameEEG_sub-9",0.443953775,0,0.026863425,"gam_ddm4_muller"
"215","z_1[1,101]","Participant","Intercept","IllusionGameInternational_0sq6lofj2q",0.443953775,0,0.026863425,"gam_ddm4_muller"
"216","z_1[1,102]","Participant","Intercept","IllusionGameInternational_0xdqd1owou",0.443953775,0,0.026863425,"gam_ddm4_muller"
"217","z_1[1,103]","Participant","Intercept","IllusionGameInternational_14l82n6s4u",0.443953775,0,0.026863425,"gam_ddm4_muller"
"218","z_1[1,104]","Participant","Intercept","IllusionGameInternational_1ktd5jv1x5",0.443953775,0,0.026863425,"gam_ddm4_muller"
"219","z_1[1,105]","Participant","Intercept","IllusionGameInternational_23pubcvhh0",0.443953775,0,0.026863425,"gam_ddm4_muller"
"220","z_1[1,106]","Participant","Intercept","IllusionGameInternational_356t3x57kk",0.443953775,0,0.026863425,"gam_ddm4_muller"
"221","z_1[1,107]","Participant","Intercept","IllusionGameInternational_4v5wnz20ou",0.443953775,0,0.026863425,"gam_ddm4_muller"
"222","z_1[1,108]","Participant","Intercept","IllusionGameInternational_524xnvb3s1",0.443953775,0,0.026863425,"gam_ddm4_muller"
"223","z_1[1,109]","Participant","Intercept","IllusionGameInternational_6d1axwbspy",0.443953775,0,0.026863425,"gam_ddm4_muller"
"224","z_1[1,110]","Participant","Intercept","IllusionGameInternational_74hf660xh7",0.443953775,0,0.026863425,"gam_ddm4_muller"
"225","z_1[1,111]","Participant","Intercept","IllusionGameInternational_7w8ocdog30",0.443953775,0,0.026863425,"gam_ddm4_muller"
"226","z_1[1,112]","Participant","Intercept","IllusionGameInternational_7zw41m7nbo",0.443953775,0,0.026863425,"gam_ddm4_muller"
"227","z_1[1,113]","Participant","Intercept","IllusionGameInternational_9xh21js8u8",0.443953775,0,0.026863425,"gam_ddm4_muller"
"228","z_1[1,114]","Participant","Intercept","IllusionGameInternational_bsvxfugrwp",0.443953775,0,0.026863425,"gam_ddm4_muller"
"229","z_1[1,115]","Participant","Intercept","IllusionGameInternational_by5pqkey2w",0.443953775,0,0.026863425,"gam_ddm4_muller"
"230","z_1[1,116]","Participant","Intercept","IllusionGameInternational_d0cxgvs20l",0.443953775,0,0.026863425,"gam_ddm4_muller"
"231","z_1[1,117]","Participant","Intercept","IllusionGameInternational_d1p3uuu95n",0.443953775,0,0.026863425,"gam_ddm4_muller"
"232","z_1[1,118]","Participant","Intercept","IllusionGameInternational_dbbhtxx8gc",0.443953775,0,0.026863425,"gam_ddm4_muller"
"233","z_1[1,119]","Participant","Intercept","IllusionGameInternational_ds0gcwj6hs",0.443953775,0,0.026863425,"gam_ddm4_muller"
"234","z_1[1,120]","Participant","Intercept","IllusionGameInternational_dvmhxobjhe",0.443953775,0,0.026863425,"gam_ddm4_muller"
"235","z_1[1,121]","Participant","Intercept","IllusionGameInternational_ftnc1a1ppz",0.443953775,0,0.026863425,"gam_ddm4_muller"
"236","z_1[1,122]","Participant","Intercept","IllusionGameInternational_gujx6845c8",0.443953775,0,0.026863425,"gam_ddm4_muller"
"237","z_1[1,123]","Participant","Intercept","IllusionGameInternational_hfywqv2uan",0.443953775,0,0.026863425,"gam_ddm4_muller"
